time,P1 [mmHg]3
1725,1.234342576
1725.1,1.23464827
1725.2,1.236367801
1725.3,1.238456713
1725.4,1.237807112
1725.5,1.236864555
1725.6,1.237195724
1725.7,1.237845324
1725.8,1.237246673
1725.9,1.237157512
1726,1.2371193
1726.1,1.235336083
1726.2,1.234418999
1726.3,1.234469949
1726.4,1.233871297
1726.5,1.235412506
1726.6,1.238278391
1726.7,1.23818923
1726.8,1.238545874
1726.9,1.237603316
1727,1.237437732
1727.1,1.238622298
1727.2,1.238558611
1727.3,1.238138281
1727.4,1.237272147
1727.5,1.236800868
1727.6,1.236431488
1727.7,1.235234185
1727.8,1.235246922
1727.9,1.235730938
1728,1.237055614
1728.1,1.237501418
1728.2,1.238303866
1728.3,1.23832934
1728.4,1.23795996
1728.5,1.238201968
1728.6,1.23860956
1728.7,1.237577842
1728.8,1.236482437
1728.9,1.236125793
1729,1.23576915
1729.1,1.234176991
1729.2,1.233731187
1729.3,1.23357834
1729.4,1.233985932
